Lat Lon emi_CO[kg/m2/s]
45.45 8.95 6.670919927564967e-10
45.45 9.05 6.781432637659179e-10
45.45 9.15 1.0151878226949407e-09
45.45 9.25 7.718252148514182e-10
45.45 9.35 9.316358795530277e-10
45.45 9.45 3.93452603830724e-10
45.45 9.55 5.439484418445772e-10
45.45 9.65 5.781990441988683e-10
45.45 9.75 5.120715518280861e-10
45.45 9.85 2.778511865031419e-10
45.45 9.95 4.72584693600453e-10
45.45 10.05 5.524955493108052e-10
45.45 10.15 6.697314369752405e-10
45.45 10.25 6.274680774964736e-10
45.45 10.35 4.991546620480847e-10
45.45 10.45 7.475657870514851e-10
45.45 10.55 4.24742074844886e-10
45.45 10.65 4.6238521345109973e-10
45.45 10.75 6.72623567954389e-10
45.45 10.85 7.858304007513084e-10
45.45 10.95 7.94289800598591e-10
45.45 11.05 7.053164163828285e-10
45.45 11.15 6.123107576527786e-10
45.45 11.25 6.097634064339275e-10
45.45 11.35 5.549851134212247e-10
45.45 11.45 4.737874537141806e-10
45.45 11.55 3.0624494606890096e-10
45.45 11.65 5.089666466062681e-10
45.45 11.75 8.139464657830331e-10
45.45 11.85 1.0728754551436737e-09
45.45 11.95 1.0849284803882142e-09
45.45 12.05 1.0123912819182124e-09
45.45 12.15 1.04612640772217e-09
45.45 12.25 9.985896554098872e-10
45.45 12.45 1.5795754981784427e-10
45.55 8.45 3.804478121427479e-10
45.55 8.55 3.072844756424331e-10
45.55 8.65 3.1475008710479813e-10
45.55 8.75 1.2134229177007683e-09
45.55 8.85 7.622653064309759e-10
45.55 8.95 7.363472054322528e-10
45.55 9.05 8.618508684499204e-10
45.55 9.15 5.145542325557528e-10
45.55 9.25 7.76412822922623e-10
45.55 9.35 6.720261569448382e-10
45.55 9.45 8.318712385602112e-10
45.55 9.55 8.59367799144195e-10
45.55 9.65 8.189688927018324e-10
45.55 9.75 4.558489141714972e-10
45.55 9.85 8.625796743544356e-10
45.55 9.95 6.518541817435164e-10
45.55 10.05 9.62414148375501e-10
45.55 10.15 5.461379681825917e-10
45.55 10.25 1.1966532209584102e-09
45.55 10.35 8.174563248530831e-10
45.55 10.45 8.047371657937674e-10
45.55 10.55 6.114185824301899e-10
45.55 10.65 1.1913523986772923e-11
45.55 10.75 6.233291105495198e-10
45.55 10.85 7.266494628233033e-10
45.55 10.95 5.061345786927518e-10
45.55 11.05 3.915849033919727e-10
45.55 11.15 2.1418200546463595e-10
45.55 11.25 5.69892633084379e-10
45.55 11.35 6.310412747900784e-10
45.55 11.45 6.567176802363406e-10
45.55 11.55 1.0520784243794878e-09
45.55 11.65 7.118317602028412e-10
45.55 11.75 5.966053762129775e-10
45.55 11.85 9.048060634064825e-10
45.55 11.95 9.550309432171389e-10
45.55 12.05 9.931335753776693e-10
45.55 12.15 1.1113052700295611e-09
45.55 12.25 9.84526127290053e-10
45.55 12.35 6.363992111069194e-10
45.55 12.45 7.208739855046886e-11
45.55 12.55 9.101383535714547e-11
45.55 12.65 4.674239884039366e-10
45.55 12.75 1.0591672677806585e-10
